last_update,location_type,state,county_name,county_name_long,fips_code,nchs_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
2020-09-04 00:28:22 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",1001,Medium metro,55200,1349,2444,23,42
2020-09-04 00:28:22 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",1003,Small metro,208107,4495,2160,40,19
2020-09-04 00:28:22 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",1005,Non-core,25782,614,2382,7,27
2020-09-04 00:28:22 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",1007,Large fringe metro,22527,542,2406,6,27
2020-09-04 00:28:22 UTC,county,Alabama,Blount,"Blount, Alabama, US",1009,Large fringe metro,57645,1037,1799,11,19
2020-09-04 00:28:22 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",1011,Non-core,10352,541,5226,13,126
2020-09-04 00:28:22 UTC,county,Alabama,Butler,"Butler, Alabama, US",1013,Non-core,20025,841,4200,36,180
2020-09-04 00:28:22 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",1015,Small metro,115098,2447,2126,31,27
2020-09-04 00:28:22 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",1017,Micropolitan,33826,850,2513,39,115
2020-09-04 00:28:22 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",1019,Non-core,25853,354,1369,11,43
2020-09-04 00:28:22 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",1021,Large fringe metro,43930,1102,2509,10,23
2020-09-04 00:28:22 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",1023,Non-core,13075,319,2440,12,92
2020-09-04 00:28:22 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",1025,Non-core,24387,917,3760,13,53
2020-09-04 00:28:22 UTC,county,Alabama,Clay,"Clay, Alabama, US",1027,Non-core,13378,368,2751,6,45
2020-09-04 00:28:22 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",1029,Non-core,14938,222,1486,5,33
2020-09-04 00:28:22 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",1031,Micropolitan,51288,959,1870,5,10
2020-09-04 00:28:22 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",1033,Small metro,54495,1458,2675,22,40
2020-09-04 00:28:22 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",1035,Non-core,12514,432,3452,11,88
2020-09-04 00:28:22 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",1037,Micropolitan,10855,110,1013,3,28
2020-09-04 00:28:22 UTC,county,Alabama,Covington,"Covington, Alabama, US",1039,Non-core,37351,800,2142,25,67
2020-09-04 00:28:22 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",1041,Non-core,13865,394,2842,28,202
2020-09-04 00:28:22 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",1043,Micropolitan,82313,1448,1759,15,18
2020-09-04 00:28:22 UTC,county,Alabama,Dale,"Dale, Alabama, US",1045,Micropolitan,49255,1015,2061,41,83
2020-09-04 00:28:22 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",1047,Micropolitan,40029,1428,3567,25,62
2020-09-04 00:28:22 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",1049,Non-core,71200,2080,2921,15,21
2020-09-04 00:28:22 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",1051,Medium metro,81212,2054,2529,43,53
2020-09-04 00:28:22 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",1053,Non-core,37328,1234,3306,22,59
2020-09-04 00:28:22 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",1055,Small metro,102939,2708,2631,42,41
2020-09-04 00:28:22 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",1057,Non-core,16585,300,1809,6,36
2020-09-04 00:28:22 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",1059,Non-core,31542,1570,4977,27,86
2020-09-04 00:28:22 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",1061,Small metro,26491,387,1461,3,11
2020-09-04 00:28:22 UTC,county,Alabama,Greene,"Greene, Alabama, US",1063,Non-core,8426,278,3299,14,166
2020-09-04 00:28:22 UTC,county,Alabama,Hale,"Hale, Alabama, US",1065,Small metro,14887,531,3567,27,181
2020-09-04 00:28:22 UTC,county,Alabama,Henry,"Henry, Alabama, US",1067,Small metro,17124,338,1974,3,18
2020-09-04 00:28:22 UTC,county,Alabama,Houston,"Houston, Alabama, US",1069,Small metro,104352,1875,1797,15,14
2020-09-04 00:28:22 UTC,county,Alabama,Jackson,"Jackson, Alabama, US",1071,Micropolitan,52094,1294,2484,7,13
2020-09-04 00:28:22 UTC,county,Alabama,Jefferson,"Jefferson, Alabama, US",1073,Large central metro,659892,16240,2461,305,46
2020-09-04 00:28:22 UTC,county,Alabama,Lamar,"Lamar, Alabama, US",1075,Non-core,13933,276,1981,2,14
2020-09-04 00:28:22 UTC,county,Alabama,Lauderdale,"Lauderdale, Alabama, US",1077,Small metro,92585,1443,1559,24,26
2020-09-04 00:28:22 UTC,county,Alabama,Lawrence,"Lawrence, Alabama, US",1079,Small metro,33171,486,1465,5,15
2020-09-04 00:28:22 UTC,county,Alabama,Lee,"Lee, Alabama, US",1081,Small metro,159287,3384,2124,49,31
2020-09-04 00:28:22 UTC,county,Alabama,Limestone,"Limestone, Alabama, US",1083,Medium metro,93052,1667,1791,15,16
2020-09-04 00:28:22 UTC,county,Alabama,Lowndes,"Lowndes, Alabama, US",1085,Medium metro,10236,600,5862,24,234
