fips_code,Stabr,area_name, Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018
0,US,United States,"157,115,247","5,984,808",3.7,"61,937"
1000,AL,Alabama,"2,174,483","67,264",3,"49,881"
1001,AL,"Autauga County, AL","25,458",714,2.7,"59,338"
1003,AL,"Baldwin County, AL","94,675","2,653",2.7,"57,588"
1005,AL,"Barbour County, AL","8,213",324,3.8,"34,382"
1007,AL,"Bibb County, AL","8,419",266,3.1,"46,064"
1009,AL,"Blount County, AL","24,655",676,2.7,"50,412"
1011,AL,"Bullock County, AL","4,643",175,3.6,"29,267"
1013,AL,"Butler County, AL","8,925",338,3.6,"37,365"
1015,AL,"Calhoun County, AL","44,574","1,635",3.5,"45,400"
1017,AL,"Chambers County, AL","15,286",462,2.9,"39,917"
1019,AL,"Cherokee County, AL","11,266",338,2.9,"42,132"
1021,AL,"Chilton County, AL","19,280",538,2.7,"47,547"
1023,AL,"Choctaw County, AL","4,452",218,4.7,"39,907"
1025,AL,"Clarke County, AL","7,121",436,5.8,"40,741"
1027,AL,"Clay County, AL","5,918",183,3,"39,201"
1029,AL,"Cleburne County, AL","5,623",183,3.2,"46,495"
1031,AL,"Coffee County, AL","20,779",623,2.9,"55,122"
1033,AL,"Colbert County, AL","22,761",885,3.7,"49,055"
1035,AL,"Conecuh County, AL","4,353",180,4,"32,613"
1037,AL,"Coosa County, AL","4,414",135,3,"42,423"
1039,AL,"Covington County, AL","15,119",534,3.4,"40,203"
1041,AL,"Crenshaw County, AL","6,293",183,2.8,"39,057"
1043,AL,"Cullman County, AL","37,648",998,2.6,"45,796"
1045,AL,"Dale County, AL","20,082",642,3.1,"45,309"
1047,AL,"Dallas County, AL","13,904",807,5.5,"34,035"
1049,AL,"DeKalb County, AL","30,182",870,2.8,"39,491"
1051,AL,"Elmore County, AL","36,586",979,2.6,"60,367"
1053,AL,"Escambia County, AL","14,248",514,3.5,"38,418"
1055,AL,"Etowah County, AL","41,295","1,428",3.3,"44,903"
1057,AL,"Fayette County, AL","6,372",207,3.1,"39,254"
1059,AL,"Franklin County, AL","14,291",405,2.8,"39,388"
1061,AL,"Geneva County, AL","10,725",320,2.9,"37,823"
1063,AL,"Greene County, AL","2,722",161,5.6,"28,524"
1065,AL,"Hale County, AL","5,878",241,3.9,"34,724"
1067,AL,"Henry County, AL","6,697",247,3.6,"46,027"
1069,AL,"Houston County, AL","44,844","1,390",3,"47,993"
1071,AL,"Jackson County, AL","22,712",772,3.3,"41,929"
1073,AL,"Jefferson County, AL","309,664","9,091",2.9,"55,013"
1075,AL,"Lamar County, AL","5,670",179,3.1,"40,936"
1077,AL,"Lauderdale County, AL","41,160","1,388",3.3,"48,707"
1079,AL,"Lawrence County, AL","13,859",447,3.1,"43,909"
1081,AL,"Lee County, AL","74,500","2,080",2.7,"48,937"
1083,AL,"Limestone County, AL","42,700","1,154",2.6,"64,863"
1085,AL,"Lowndes County, AL","3,383",204,5.7,"33,973"
1087,AL,"Macon County, AL","7,513",337,4.3,"32,495"
1089,AL,"Madison County, AL","180,505","4,714",2.5,"63,755"
1091,AL,"Marengo County, AL","7,423",271,3.5,"37,733"
1093,AL,"Marion County, AL","12,486",446,3.4,"37,887"
1095,AL,"Marshall County, AL","42,999","1,086",2.5,"46,233"
1097,AL,"Mobile County, AL","182,083","7,024",3.7,"43,598"
1099,AL,"Monroe County, AL","6,973",356,4.9,"39,556"
1101,AL,"Montgomery County, AL","102,517","3,260",3.1,"49,640"
1103,AL,"Morgan County, AL","56,771","1,500",2.6,"52,797"
1105,AL,"Perry County, AL","3,235",178,5.2,"26,814"
1107,AL,"Pickens County, AL","7,647",276,3.5,"37,586"
1109,AL,"Pike County, AL","14,924",504,3.3,"37,259"
1111,AL,"Randolph County, AL","9,347",292,3,"40,546"
1113,AL,"Russell County, AL","23,198",698,2.9,"39,104"
1115,AL,"St. Clair County, AL","39,441","1,091",2.7,"57,284"
1117,AL,"Shelby County, AL","113,414","2,525",2.2,"75,663"
1119,AL,"Sumter County, AL","4,635",219,4.5,"27,859"
1121,AL,"Talladega County, AL","34,556","1,213",3.4,"41,630"
1123,AL,"Tallapoosa County, AL","18,096",556,3,"42,205"
1125,AL,"Tuscaloosa County, AL","102,122","2,842",2.7,"52,557"
1127,AL,"Walker County, AL","24,517",830,3.3,"45,434"
1129,AL,"Washington County, AL","6,487",313,4.6,"44,424"
1131,AL,"Wilcox County, AL","2,544",195,7.1,"25,385"
1133,AL,"Winston County, AL","9,705",336,3.3,"41,156"
2000,AK,Alaska,"326,430","21,349",6.1,"74,912"
2013,AK,"Aleutians East Borough, AK","2,360",68,2.8,"70,081"
2016,AK,"Aleutians West Census Area, AK","3,477",129,3.6,"82,633"
2020,AK,"Anchorage Borough/municipality, AK","139,526","7,423",5.1,"82,113"
2050,AK,"Bethel Census Area, AK","6,120",905,12.9,"44,304"
2060,AK,"Bristol Bay Borough, AK",414,27,6.1,"77,257"
2068,AK,"Denali Borough, AK",950,88,8.5,"75,477"
2070,AK,"Dillingham Census Area, AK","1,781",157,8.1,"54,524"
2090,AK,"Fairbanks North Star Borough, AK","42,248","2,404",5.4,"74,268"
2100,AK,"Haines Borough, AK","1,012",99,8.9,"58,943"
2105,AK,"Hoonah-Angoon Census Area, AK","1,028",132,11.4,"51,188"
2110,AK,"Juneau Borough/city, AK","16,243",756,4.4,"79,173"
2122,AK,"Kenai Peninsula Borough, AK","24,383","1,778",6.8,"65,439"
2130,AK,"Ketchikan Gateway Borough, AK","6,456",428,6.2,"68,309"
2150,AK,"Kodiak Island Borough, AK","5,582",330,5.6,"74,109"
2158,AK,"Kusilvak Census Area, AK","2,164",518,19.3,"32,728"
2164,AK,"Lake and Peninsula Borough, AK",638,70,9.9,"49,403"
2170,AK,"Matanuska-Susitna Borough, AK","43,661","3,240",6.9,"74,649"
2180,AK,"Nome Census Area, AK","3,596",440,10.9,"55,318"
2185,AK,"North Slope Borough, AK","3,261",224,6.4,"89,276"
2188,AK,"Northwest Arctic Borough, AK","2,523",411,14,"59,337"
2195,AK,"Petersburg Borough, AK","1,267",121,8.7,"66,075"
2198,AK,"Prince of Wales-Hyder Census Area, AK","2,562",289,10.1,"49,356"
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,,
2220,AK,"Sitka Borough/city, AK","4,155",181,4.2,"71,825"
2230,AK,"Skagway Municipality, AK",746,76,9.2,"74,635"
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,,,
2240,AK,"Southeast Fairbanks Census Area, AK","2,558",252,9,"63,527"
2261,AK,"Valdez-Cordova Census Area, AK","4,452",363,7.5,"68,528"
2275,AK,"Wrangell Borough/city, AK",925,77,7.7,"57,832"
2280,AK,"Wrangell-Petersburg Census Area, AK",,,,
2282,AK,"Yakutat Borough/city, AK",227,19,7.7,"59,523"
2290,AK,"Yukon-Koyukuk Census Area, AK","2,113",345,14,"38,912"
4000,AZ,Arizona,"3,384,504","166,756",4.7,"59,079"
4001,AZ,"Apache County, AZ","18,468","2,019",9.9,"33,652"
4003,AZ,"Cochise County, AZ","47,695","2,899",5.7,"49,164"
4005,AZ,"Coconino County, AZ","73,206","4,301",5.5,"60,187"
4007,AZ,"Gila County, AZ","20,485","1,192",5.5,"43,585"
